1;Bratislavsky kraj;574291;313935;54,66;313836;309118
2;Trnavsky kraj;467840;190871;40,79;190843;187568
3;Trenciansky kraj;484954;222276;45,83;222245;217519
4;Nitriansky kraj;567827;212639;37,44;212628;209151
5;Zilinsky kraj;561539;249227;44,38;249193;242896
6;Banskobystricky kraj;517370;197545;38,18;197506;193390
7;Presovsky kraj;628364;241411;38,41;241371;234359
8;Kosicky kraj;617698;219513;35,53;219493;214984
