201;555541;Dunajsky Klatov;574;136;23,69;136;136
201;501573;Gabcikovo;4428;1113;25,13;1113;1075
201;501581;Holice;1742;494;28,35;490;487
201;501590;Horna Poton;1738;529;30,43;528;523
201;555568;Horne Myto;780;148;18,97;148;143
201;501603;Horny Bar;1059;393;37,11;393;388
201;501620;Hubice;516;251;48,64;251;249
201;501638;Hviezdoslavov;1513;830;54,85;830;821
201;501654;Jahodna;1411;344;24,37;344;344
201;501662;Janiky;770;358;46,49;358;356
201;501671;Jurova;398;107;26,88;107;105
201;501689;Klucovec;313;76;24,28;76;73
201;501697;Kostolne Kracany;1164;325;27,92;325;323
201;501701;Kralovicove Kracany;898;229;25,5;229;229
201;501719;Kutniky;1152;386;33,5;386;384
201;501727;Kvetoslavov;1274;696;54,63;696;691
201;580597;Kyselica;169;80;47,33;80;78
201;501735;Lehnice;2330;748;32,1;747;739
201;501743;Luc na Ostrove;619;195;31,5;195;191
201;555606;Macov;334;171;51,19;171;167
201;555649;Mad;467;128;27,4;128;126
201;555665;Male Dvorniky;942;337;35,77;337;337
201;501760;Medvedov;490;120;24,48;120;120
201;501778;Mierovo;359;173;48,18;173;171
201;501786;Michal na Ostrove;822;281;34,18;281;276
201;501930;Narad;548;198;36,13;198;193
201;501808;Novy Zivot;1842;665;36,1;665;662
201;501816;Ohrady;1114;255;22,89;255;252
201;501824;Okoc;3158;487;15,42;487;470
201;501832;Oldza;403;191;47,39;191;188
201;501859;Orechova Poton;1436;420;29,24;420;416
201;501867;Padan;740;162;21,89;162;162
201;501883;Patas;654;76;11,62;76;76
201;582522;Potonske Luky;231;75;32,46;75;74
201;555720;Povoda;804;261;32,46;261;260
201;501891;Rohovce;918;329;35,83;329;323
201;501875;Sap;441;112;25,39;112;109
201;501905;Samorin;10873;4526;41,62;4524;4463
201;501913;Stvrtok na Ostrove;1439;538;37,38;538;529
201;501921;Topolniky;2576;569;22,08;569;566
201;555576;Trhova Hradska;1863;386;20,71;385;380
201;501956;Trnavka;420;154;36,66;154;154
201;501964;Trstena na Ostrove;503;170;33,79;170;168
201;501972;Velka Paka;765;397;51,89;397;393
201;501981;Velke Blahovo;1243;263;21,15;263;262
201;555673;Velke Dvorniky;1048;266;25,38;266;264
201;501522;Velky Meder;7084;1426;20,12;1426;1409
201;555746;Vieska;360;128;35,55;128;128
201;501999;Vojka nad Dunajom;442;231;52,26;231;229
201;502006;Vrakun;2261;560;24,76;559;557
201;502014;Vydrany;1460;369;25,27;369;356
201;502022;Zlate Klasy;2739;531;19,38;531;526
202;503673;Abraham;911;476;52,25;476;463
202;503690;Cierna Voda;1151;324;28,14;324;316
202;503703;Cierny Brod;1372;374;27,25;374;369
202;555789;Dolna Streda;1287;573;44,52;573;564
202;503746;Dolne Saliby;1725;484;28,05;484;482
202;503754;Dolny Chotar;301;60;19,93;60;59
202;503665;Galanta;12435;5244;42,17;5243;5142
202;503762;Gan;680;331;48,67;331;327
202;503771;Horne Saliby;2672;904;33,83;904;893
202;503789;Hoste;402;201;50;201;195
202;503827;Janovce;409;198;48,41;198;198
202;503835;Jelka;3352;994;29,65;994;985
202;503843;Kajal;1260;390;30,95;390;386
202;503860;Kosuty;1410;520;36,87;520;510
202;503878;Kralov Brod;909;231;25,41;231;231
202;582638;Mala Maca;499;189;37,87;189;183
202;555754;Matuskovo;1888;853;45,18;852;839
202;503924;Mostova;1339;429;32,03;429;423
202;503959;Pata;2620;960;36,64;960;942
202;503967;Puste Sady;534;223;41,76;223;220
202;503975;Puste Ulany;1456;629;43,2;629;620
202;504009;Sered;13327;5371;40,3;5371;5285
202;504017;Sladkovicovo;4415;1613;36,53;1613;1580
202;504033;Salgocka;379;143;37,73;143;142
202;504041;Sintava;1461;676;46,26;676;665
202;504050;Soporna;3449;1307;37,89;1307;1286
202;504076;Tomasikovo;1330;305;22,93;305;303
202;504084;Topolnica;695;308;44,31;308;305
202;504106;Trstice;3217;748;23,25;748;746
202;504114;Vahovce;1745;578;33,12;578;568
202;504122;Velka Maca;2131;645;30,26;645;641
202;504131;Velke Ulany;3763;1425;37,86;1425;1412
202;504149;Velky Grob;1120;470;41,96;469;463
202;504157;Vinohrady nad Vahom;1364;522;38,26;522;516
202;504173;Vozokany;961;335;34,85;335;332
202;504181;Zemianske Sady;702;252;35,89;252;249
204;581399;Banka;1864;860;46,13;860;843
204;558354;Basovce;283;130;45,93;130;120
204;506834;Borovce;868;369;42,51;369;363
204;506982;Dolny Lopasov;810;342;42,22;341;332
204;506991;Drahovce;2164;866;40,01;866;853
204;507008;Dubovany;828;318;38,4;318;308
204;558338;Ducove;370;166;44,86;166;159
204;556581;Hubina;438;181;41,32;181;179
204;507121;Chtelnica;2150;1048;48,74;1048;1031
204;507199;Kocin - Lancar;437;208;47,59;208;199
204;507229;Krakovany;1153;563;48,82;563;549
204;507342;Moravany nad Vahom;1922;857;44,58;856;845
204;507369;Nizna;458;207;45,19;206;206
204;507385;Ostrov;1017;487;47,88;487;484
204;507431;Pecenady;465;184;39,56;184;177
204;507440;Piestany;23855;11770;49,33;11770;11553
204;507466;Prasnik;701;340;48,5;340;336
204;507482;Rakovice;477;211;44,23;211;203
204;507491;Ratnovce;844;330;39,09;330;328
204;507563;Sokolovce;1100;451;41;451;441
204;558397;Sipkove;271;131;48,33;131;126
204;556548;Sterusy;407;175;42,99;175;168
204;507679;Trebatice;1083;527;48,66;527;513
204;507709;Velke Kostolany;2270;849;37,4;849;831
204;556572;Velke Orviste;893;385;43,11;385;375
204;507725;Vesele;975;411;42,15;411;402
204;507750;Vrbove;4846;2209;45,58;2207;2147
205;504211;Bilkove Humence;179;88;49,16;88;86
205;504238;Borsky Mikulas;3274;1214;37,08;1214;1193
205;504220;Borsky Svaty Jur;1295;544;42;544;535
205;504297;Cerova;938;529;56,39;529;519
205;504319;Cary;1012;355;35,07;355;351
205;504327;Castkov;481;269;55,92;269;267
205;504335;Dojc;1009;400;39,64;400;386
205;504360;Hlboke;783;385;49,16;385;377
205;504386;Hradiste pod Vratnom;588;305;51,87;305;302
205;504416;Jablonica;1882;798;42,4;798;788
205;504475;Kovalov;575;287;49,91;287;281
205;504491;Kuklov;633;161;25,43;161;157
205;504513;Kuty;4250;2157;50,75;2154;2108
205;504521;Laksarska Nova Ves;939;366;38,97;366;362
205;504572;Moravsky Svaty Jan;1796;821;45,71;821;809
205;504602;Osuske;491;204;41,54;204;203
205;504645;Plavecky Peter;514;221;42,99;221;218
205;504653;Podbranc;531;280;52,73;280;275
205;504700;Prietrz;620;325;52,41;325;324
205;504726;Prievaly;826;407;49,27;407;397
205;556122;Rohov;343;129;37,6;129;128
205;504777;Rovensko;350;214;61,14;214;211
205;556131;Rybky;345;177;51,3;177;176
205;556114;Sekule;1433;608;42,42;608;590
205;504203;Senica;16600;6978;42,03;6978;6880
205;504823;Smolinske;751;360;47,93;360;352
205;504831;Smrdaky;548;329;60,03;329;323
205;504840;Sobotiste;1229;615;50,04;615;601
205;504882;Sajdikove Humence;928;397;42,78;397;397
205;504891;Sastin - Straze;4123;1434;34,78;1434;1404
205;504904;Stefanov;1284;485;37,77;485;473
206;504271;Brodske;2012;849;42,19;849;835
206;504343;Dubovce;521;260;49,9;260;252
206;504351;Gbely;4211;1792;42,55;1792;1770
206;504378;Holic;9260;3802;41,05;3802;3726
206;504394;Chropov;311;138;44,37;138;137
206;504432;Katov;507;214;42,2;214;208
206;504459;Kopcany;2049;741;36,16;741;730
206;504483;Kovalovec;120;66;55;66;66
206;504530;Letnicie;413;195;47,21;195;189
206;504548;Lopasov;252;159;63,09;159;159
206;504564;Mokry Haj;633;278;43,91;278;271
206;504599;Oreske;302;204;67,54;204;199
206;504611;Petrova Ves;869;415;47,75;415;414
206;504670;Popudinske Mocidlany;740;304;41,08;304;295
206;504718;Prietrzka;409;221;54,03;221;218
206;504734;Radimov;454;213;46,91;213;211
